i_TradePeriodNodeDemand,-,-
TP3,ROS0221,41.828
TP3,ROS1101,22.389
TP3,ROT0111,10.102
TP3,ROT0331,19.14
TP3,ROT1101,0
TP3,SBK0331,13.747
TP3,SBK0661,7.118
TP3,SDN0331,31.271
TP3,SFD0331,10.563
TP3,SFD2201,0
TP3,STK0331,62.136
TP3,STK0661,12.106
TP3,STU0111,4.307
TP3,SVL0331,26.627
TP3,SWN0251,0.898
TP3,SWN2201,0.08
TP3,TAK0331,44.295
TP3,TGA0111,11.532
TP3,TGA0331,35.179
TP3,THI2201,0
TP3,TIM0111,38.267
TP3,TKA0331,3.439
TP3,TKH0111,0.489
TP3,TKR0331,37.552
TP3,TKU0331,4.128
TP3,TMI0331,17.541
TP3,TMK0331,11.674
TP3,TMN0551,1.21
TP3,TMU0111,15.44
TP3,TNG0111,29.894
TP3,TNG0551,0.011
TP3,TRK0111,2.933
TP3,TUI1101,23.915
TP3,TWC2201,-57.203
TP3,TWH0331,-3.302
TP3,TWI2201,578.999
TP3,TWZ0331,5.281
TP3,UHT0331,12.715
TP3,WAI0111,4.42
TP3,WDV0111,1.034
TP3,WDV1101,-16.317
TP3,WEL0331,13.333
TP3,WHI2201,0.17
TP3,WIL0331,21.222
TP3,WIR0331,40.914
TP3,WKM2201,4.296
TP3,WPR0331,3.767
TP3,WPR0661,0.822
TP3,WPT0111,0
TP3,WPW0331,8.616
TP3,WRD0331,26.904
TP3,WRK0331,23.6
TP3,WTK0111,0
TP3,WTK0331,0
TP3,WTU0331,41.296
TP3,WVY0111,2.152
TP3,WWD1102,0.437
TP3,WWD1103,0.461
TP4,BOB1101,27.222
TP4,CPK0331,61.408
TP4,HAM0331,53.946
TP4,HIN0331,16.795
TP4,ISL0331,39.443
TP4,KAW0111,14.958
TP4,KAW0113,0
TP4,KIN0331,7.207
TP4,KPU0661,17.121
TP4,MPE1101,49.579
TP4,PEN0331,116.055
TP4,PRM0331,25.091
TP4,WGN0331,11.264
TP4,WHI0111,58.339
TP4,WHU0331,9.177
TP4,WKO0331,16.469
TP4,KAW0112_DLS0,0
TP4,KAW0113_DLS1,34.903
TP4,ABY0111,2.421
TP4,ALB0331,47.771
TP4,ALB1101,24.55
TP4,APS0111,0.153
TP4,ARG1101,0.028
TP4,ASB0331,14.95
TP4,ASB0661,19.702
TP4,ASY0111,10.253
TP4,ATU1101,0.109
TP4,BAL0331,14.556
TP4,BDE0111,7.242
TP4,BLN0331,33.549
TP4,BOB0331,4.152
TP4,BPD1101,1.171
TP4,BPE0331,35.418
TP4,BPE0551,0.71
TP4,BPT1101,0.11
TP4,BRB0331,46.002
TP4,BRK0331,12.17
TP4,BRY0661,82.628
TP4,BWK1101,0
TP4,CBG0111,14.974
TP4,CLH0111,0.316
TP4,CML0331,19.875
TP4,COL0111,0.173
TP4,COL0661,0
TP4,CPK0111,8.381
TP4,CST0331,18.966
TP4,CUL0331,4.437
TP4,CUL0661,2.588
TP4,CYD0331,0.384
TP4,CYD2201,0
TP4,DOB0331,0.567
TP4,DVK0111,5.591
TP4,EDG0331,35.908
TP4,EDN0331,3.846
TP4,FHL0331,22.441
TP4,FKN0331,40.436
TP4,GFD0331,26.538
TP4,GLN0331,93.533
TP4,GLN0332,35.276
TP4,GOR0331,15.901
TP4,GYM0661,5.458
TP4,GYT0331,4.607
TP4,HAM0111,13.714
TP4,HAM0551,0.087
TP4,HAY0111,7.112
TP4,HAY0331,6.752
TP4,HEN0331,42.471
TP4,HEP0331,55.526
TP4,HKK0661,-1.624
TP4,HLY0331,11.261
TP4,HOB1101,17.275
TP4,HOR0331,4.941
TP4,HOR0661,4.478
TP4,HTI0331,14.236
TP4,HUI0331,23.809
TP4,HWA0331,14.392
TP4,HWA0332,5.626
TP4,HWA1101,0
TP4,HWA1102,0
TP4,HWB0331,33.951
TP4,HWB0332,20.319
TP4,HWB1101,5.468
TP4,INV0331,48.075
TP4,ISL0661,256.877
TP4,KAI0111,16.858
TP4,KAW0112,38.802
TP4,KAW1101,0
TP4,KBY0661,0.862
TP4,KBY0662,1.012
TP4,KIK0111,0.87
TP4,KIN0111,44.08
TP4,KIN0112,-21.509
TP4,KIN0113,16.729
TP4,KMO0331,5.942
TP4,KOE1101,6.475
TP4,KPA1101,0
TP4,KUM0661,-2.777
TP4,KWA0111,12.906
TP4,LFD1101,0.828
TP4,LFD1102,0.874
TP4,LTN0331,13.635
TP4,MAN2201,0.945
TP4,MAT1101,0.176
TP4,MCH0111,0.864
TP4,MER0331,0
TP4,MGM0331,3.55
TP4,MHO0331,14.504
TP4,MKE1101,0.187
TP4,MLG0111,9.685
TP4,MLG0331,14.852
TP4,MNG0331,51.616
TP4,MNG1101,7.847
TP4,MNI0111,6.175
TP4,MST0331,20.295
TP4,MTM0331,28.118
TP4,MTN0331,7.469
TP4,MTO0331,5.503
TP4,MTR0331,3.429
TP4,NAP2201,0
TP4,NAP2202,0
TP4,NMA0331,-0.746
TP4,NPK0331,3.724
TP4,NPL0331,4.779
TP4,NSY0331,22.674
TP4,OAM0331,17.517
TP4,OKN0111,5.279
TP4,ONG0331,4.541
TP4,OPK0331,3.565
TP4,ORO1101,2.965
TP4,ORO1102,2.912
TP4,OTA0221,26.276
TP4,OTI0111,0.058
TP4,OWH0111,4.891
TP4,PAK0331,57.298
TP4,PAO1101,15.797
TP4,PEN0221,24.484
TP4,PEN0251,0
TP4,PEN1101,60.973
TP4,PNI0331,6.571
TP4,PPI2201,0
TP4,RDF0331,23.346
TP4,RFN1101,0.864
TP4,RFN1102,0.739
TP4,ROS0221,39.817
TP4,ROS1101,21.841
TP4,ROT0111,9.853
TP4,ROT0331,19.905
TP4,ROT1101,0
TP4,SBK0331,13.389
TP4,SBK0661,6.933
TP4,SDN0331,30.351
TP4,SFD0331,10.55
TP4,SFD2201,0
TP4,STK0331,61.792
TP4,STK0661,11.919
TP4,STU0111,4.1
TP4,SVL0331,26.046
TP4,SWN0251,0.838
TP4,SWN2201,0.1
TP4,TAK0331,43.064
TP4,TGA0111,10.835
TP4,TGA0331,34.081
TP4,THI2201,0
TP4,TIM0111,37.176
TP4,TKA0331,3.344
TP4,TKH0111,0.468
TP4,TKR0331,36.456
TP4,TKU0331,3.982
TP4,TMI0331,17.188
TP4,TMK0331,11.392
TP4,TMN0551,0.061
TP4,TMU0111,15.049
TP4,TNG0111,30.036
TP4,TNG0551,0.624
TP4,TRK0111,2.859
TP4,TUI1101,23.194
TP4,TWC2201,-47.152
TP4,TWH0331,-7.962
TP4,TWI2201,579.274
TP4,TWZ0331,5.164
TP4,UHT0331,12.432
TP4,WAI0111,4.259
TP4,WDV0111,0.999
TP4,WDV1101,-8.383
TP4,WEL0331,13.095
TP4,WHI2201,0.168
TP4,WIL0331,20.764
TP4,WIR0331,39.352
TP4,WKM2201,4.132
TP4,WPR0331,3.64
TP4,WPR0661,0.725
TP4,WPT0111,0
TP4,WPW0331,8.495
TP4,WRD0331,26.224
TP4,WRK0331,23.461
TP4,WTK0111,0
TP4,WTK0331,0
TP4,WTU0331,40.546
TP4,WVY0111,1.984
TP4,WWD1102,0.438
TP4,WWD1103,0.427
TP5,BOB1101,27.178
TP5,CPK0331,59.612
TP5,HAM0331,52.924
TP5,HIN0331,16.706
TP5,ISL0331,37.965
TP5,KAW0111,15.07
TP5,KAW0113,0
TP5,KIN0331,7.19
TP5,KPU0661,17.044
TP5,MPE1101,48.845
TP5,PEN0331,113.99
TP5,PRM0331,24.36
TP5,WGN0331,11.148
TP5,WHI0111,60.882
TP5,WHU0331,9.022
TP5,WKO0331,16.355
TP5,KAW0112_DLS0,0
TP5,KAW0113_DLS1,35.065
TP5,ABY0111,2.361
TP5,ALB0331,46.874
TP5,ALB1101,24.092
TP5,APS0111,0.144
TP5,ARG1101,0.029
TP5,ASB0331,14.708
TP5,ASB0661,19.571
TP5,ASY0111,10.537
TP5,ATU1101,0.114
TP5,BAL0331,14.428
TP5,BDE0111,7.229
TP5,BLN0331,32.847
TP5,BOB0331,4.043
TP5,BPD1101,1.149
TP5,BPE0331,37.222
TP5,BPE0551,1.967
TP5,BPT1101,0.11
TP5,BRB0331,46.26
TP5,BRK0331,12.074
TP5,BRY0661,78.665
TP5,BWK1101,0
TP5,CBG0111,14.754
TP5,CLH0111,0.318
TP5,CML0331,19.261
TP5,COL0111,0.175
TP5,COL0661,0
TP5,CPK0111,8.096
TP5,CST0331,18.681
TP5,CUL0331,4.453
TP5,CUL0661,2.549
TP5,CYD0331,0.216
TP5,CYD2201,2.286
TP5,DOB0331,0.54
TP5,DVK0111,5.395
TP5,EDG0331,35.839
TP5,EDN0331,3.855
TP5,FHL0331,22.388
TP5,FKN0331,39.257
TP5,GFD0331,26.018
TP5,GLN0331,91.678
TP5,GLN0332,33.77
TP5,GOR0331,15.249
TP5,GYM0661,5.402
TP5,GYT0331,4.676
TP5,HAM0111,13.288
TP5,HAM0551,0.086
TP5,HAY0111,6.963
TP5,HAY0331,6.695
TP5,HEN0331,41.513
TP5,HEP0331,54.308
TP5,HKK0661,-2.025
TP5,HLY0331,11.066
TP5,HOB1101,16.992
TP5,HOR0331,4.834
TP5,HOR0661,4.398
TP5,HTI0331,13.781
TP5,HUI0331,23.79
TP5,HWA0331,14.299
TP5,HWA0332,5.635
TP5,HWA1101,0
TP5,HWA1102,0
TP5,HWB0331,31.181
TP5,HWB0332,19.693
TP5,HWB1101,5.29
TP5,INV0331,46.123
TP5,ISL0661,246.086
TP5,KAI0111,16.279
TP5,KAW0112,38.941
TP5,KAW1101,0
TP5,KBY0661,0.865
TP5,KBY0662,1.016
TP5,KIK0111,0.87
TP5,KIN0111,43.803
TP5,KIN0112,-21.625
TP5,KIN0113,16.281
TP5,KMO0331,5.838
TP5,KOE1101,4.99
TP5,KPA1101,0
TP5,KUM0661,-2.659
TP5,KWA0111,12.581
TP5,LFD1101,0.92
TP5,LFD1102,0.99
TP5,LTN0331,15.837
TP5,MAN2201,0.954
TP5,MAT1101,0.175
TP5,MCH0111,0.827
TP5,MER0331,0
TP5,MGM0331,3.59
TP5,MHO0331,14.242
TP5,MKE1101,0.191
TP5,MLG0111,9.594
TP5,MLG0331,14.514
TP5,MNG0331,50.308
TP5,MNG1101,7.854
TP5,MNI0111,6.162
TP5,MST0331,19.795
TP5,MTM0331,27.83
TP5,MTN0331,7.388
TP5,MTO0331,5.389
TP5,MTR0331,3.446
TP5,NAP2201,0
TP5,NAP2202,0
TP5,NMA0331,-0.947
TP5,NPK0331,3.71
TP5,NPL0331,4.781
TP5,NSY0331,22.522
TP5,OAM0331,17.073
TP5,OKN0111,5.2
TP5,ONG0331,4.545
TP5,OPK0331,3.472
TP5,ORO1101,2.913
TP5,ORO1102,2.86
TP5,OTA0221,25.735
TP5,OTI0111,0.058
TP5,OWH0111,4.779
TP5,PAK0331,55.434
TP5,PAO1101,15.446
TP5,PEN0221,24.211
TP5,PEN0251,0
TP5,PEN1101,59.868
TP5,PNI0331,6.413
TP5,PPI2201,0
TP5,RDF0331,22.932
TP5,RFN1101,0.965
TP5,RFN1102,0.836
TP5,ROS0221,38.615
TP5,ROS1101,21.312
TP5,ROT0111,9.423
TP5,ROT0331,19.983
TP5,ROT1101,0
TP5,SBK0331,13.045
TP5,SBK0661,6.934
TP5,SDN0331,29.599
TP5,SFD0331,10.185
TP5,SFD2201,0
TP5,STK0331,60.04
TP5,STK0661,11.8
TP5,STU0111,4
TP5,SVL0331,26.01
TP5,SWN0251,1.017
TP5,SWN2201,0.1
TP5,TAK0331,42.05
TP5,TGA0111,10.452
TP5,TGA0331,33.381
TP5,THI2201,0
TP5,TIM0111,36.291
TP5,TKA0331,3.288
TP5,TKH0111,0.46
TP5,TKR0331,35.476
TP5,TKU0331,3.879
TP5,TMI0331,16.926
TP5,TMK0331,11.082
TP5,TMN0551,0.062
TP5,TMU0111,15.035
TP5,TNG0111,30.517
TP5,TNG0551,1.428
TP5,TRK0111,2.913
TP5,TUI1101,22.75
TP5,TWC2201,-32.448
TP5,TWH0331,-16.947
TP5,TWI2201,580.48
TP5,TWZ0331,5.166
TP5,UHT0331,12.297
TP5,WAI0111,4.245
TP5,WDV0111,1.012
TP5,WDV1101,-7.83
TP5,WEL0331,12.923
TP5,WHI2201,0.17
TP5,WIL0331,20.519
TP5,WIR0331,39.214
TP5,WKM2201,4.224
TP5,WPR0331,3.628
TP5,WPR0661,0.665
TP5,WPT0111,0
TP5,WPW0331,8.462
TP5,WRD0331,25.692
TP5,WRK0331,23.383
TP5,WTK0111,0
TP5,WTK0331,0
TP5,WTU0331,40.279
TP5,WVY0111,1.872
TP5,WWD1102,0.436
TP5,WWD1103,0.293
TP6,BOB1101,26.374
