i_TradePeriodSustainedILROffer,-,-,-,-,
TP6,MPE1101,t1,i_ILROfferPrice,0, 
TP6,PEN0331,t1,i_ILROfferMax,4.85, 
TP6,PEN0331,t1,i_ILROfferPrice,0.01, 
TP6,PEN0331,t2,i_ILROfferMax,2.4, 
TP6,PEN0331,t2,i_ILROfferPrice,0.45, 
TP6,PEN0331,t3,i_ILROfferMax,2.4, 
TP6,PEN0331,t3,i_ILROfferPrice,2.95, 
TP6,PRM0331,t1,i_ILROfferMax,55, 
TP6,PRM0331,t1,i_ILROfferPrice,0, 
TP6,PRM0331,t2,i_ILROfferMax,58.202, 
TP6,PRM0331,t2,i_ILROfferPrice,0.02, 
TP6,WGN0331,t1,i_ILROfferMax,0, 
TP6,WGN0331,t1,i_ILROfferPrice,0.1, 
TP6,WHI0111,t1,i_ILROfferMax,40, 
TP6,WHI0111,t1,i_ILROfferPrice,0, 
TP6,WHU0331,t1,i_ILROfferMax,0.2, 
TP6,WHU0331,t1,i_ILROfferPrice,0, 
TP6,WKO0331,t1,i_ILROfferMax,0.2, 
TP6,WKO0331,t1,i_ILROfferPrice,0, 
TP7,BOB1101,t1,i_ILROfferMax,2.61, 
TP7,BOB1101,t1,i_ILROfferPrice,0, 
TP7,CPK0331,t1,i_ILROfferMax,1.23, 
TP7,CPK0331,t1,i_ILROfferPrice,0.01, 
TP7,CPK0331,t2,i_ILROfferMax,0.7, 
TP7,CPK0331,t2,i_ILROfferPrice,5.15, 
TP7,CPK0331,t3,i_ILROfferMax,0.5, 
TP7,CPK0331,t3,i_ILROfferPrice,10.29, 
TP7,HAM0331,t1,i_ILROfferMax,2.667, 
TP7,HAM0331,t1,i_ILROfferPrice,0.01, 
TP7,HIN0331,t1,i_ILROfferMax,0.5, 
TP7,HIN0331,t1,i_ILROfferPrice,0, 
TP7,ISL0331,t1,i_ILROfferMax,0, 
TP7,ISL0331,t1,i_ILROfferPrice,0, 
TP7,KAW0111,t1,i_ILROfferMax,6, 
TP7,KAW0111,t1,i_ILROfferPrice,600, 
TP7,KAW0113,t1,i_ILROfferMax,28, 
TP7,KAW0113,t1,i_ILROfferPrice,0, 
TP7,KIN0331,t1,i_ILROfferMax,0.2, 
TP7,KIN0331,t1,i_ILROfferPrice,0, 
TP7,KPU0661,t1,i_ILROfferMax,0.2, 
TP7,KPU0661,t1,i_ILROfferPrice,0, 
TP7,MPE1101,t1,i_ILROfferMax,0, 
TP7,MPE1101,t1,i_ILROfferPrice,0, 
TP7,PEN0331,t1,i_ILROfferMax,5, 
TP7,PEN0331,t1,i_ILROfferPrice,0.01, 
TP7,PEN0331,t2,i_ILROfferMax,2.5, 
TP7,PEN0331,t2,i_ILROfferPrice,0.45, 
TP7,PEN0331,t3,i_ILROfferMax,2.5, 
TP7,PEN0331,t3,i_ILROfferPrice,2.95, 
TP7,PRM0331,t1,i_ILROfferMax,55, 
TP7,PRM0331,t1,i_ILROfferPrice,0, 
TP7,PRM0331,t2,i_ILROfferMax,56.841, 
TP7,PRM0331,t2,i_ILROfferPrice,0.02, 
TP7,WGN0331,t1,i_ILROfferMax,0, 
TP7,WGN0331,t1,i_ILROfferPrice,0.1, 
TP7,WHI0111,t1,i_ILROfferMax,40, 
TP7,WHI0111,t1,i_ILROfferPrice,0, 
TP7,WHU0331,t1,i_ILROfferMax,0.2, 
TP7,WHU0331,t1,i_ILROfferPrice,0, 
TP7,WKO0331,t1,i_ILROfferMax,0.2, 
TP7,WKO0331,t1,i_ILROfferPrice,0, 
TP8,BOB1101,t1,i_ILROfferMax,2.905, 
TP8,BOB1101,t1,i_ILROfferPrice,0, 
TP8,CPK0331,t1,i_ILROfferMax,1.203, 
TP8,CPK0331,t1,i_ILROfferPrice,0.01, 
TP8,CPK0331,t2,i_ILROfferMax,0.7, 
TP8,CPK0331,t2,i_ILROfferPrice,5.15, 
TP8,CPK0331,t3,i_ILROfferMax,0.5, 
